Timestamp    | FD     | Producer   | Worker 0   | Worker 1   | Worker 2   | Worker 3   | Comments
23:09:14.282 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:14.389 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:14.496 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:14.602 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:14.709 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:14.816 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:14.922 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.029 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.136 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.242 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.349 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.456 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.562 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.669 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.776 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.882 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:15.989 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.096 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.202 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.309 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.416 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.522 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.629 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.739 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.846 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:16.952 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.059 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.166 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.272 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.379 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.486 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.592 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.702 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.809 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:17.916 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.022 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.129 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.236 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.342 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.449 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.556 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.662 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.772 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.879 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:18.986 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.096 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.202 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.309 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.416 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.522 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.632 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.739 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.846 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:19.952 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.059 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.166 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.272 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.382 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.489 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.596 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.706 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.812 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:20.919 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.026 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.136 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.242 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.352 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.459 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.566 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.672 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.779 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.886 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:21.992 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.099 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.206 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.312 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.422 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.532 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.642 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.749 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.859 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:22.969 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:23.009 | 5      | Running    | Sleeping   | Sleeping   | Sleeping   | Sleeping   | New connection accepted
23:09:23.009 | 5      | Ready      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Client added to queue
23:09:23.009 | -      | Ready      | Ready      | Sleeping   | Sleeping   | Sleeping   | Waiting to execute
23:09:23.009 | 5      | Ready      | Running    | Sleeping   | Sleeping   | Sleeping   | Handling request
23:09:23.009 | -      | Sleeping   | Running    | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:23.010 | 5      | Sleeping   | Done       | Sleeping   | Sleeping   | Sleeping   | Finished request
23:09:23.010 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for client
23:09:23.011 | 6      | Running    | Sleeping   | Sleeping   | Sleeping   | Sleeping   | New connection accepted
23:09:23.011 | 6      | Ready      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Client added to queue
23:09:23.011 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:23.011 | -      | Sleeping   | Sleeping   | Ready      | Sleeping   | Sleeping   | Waiting to execute
23:09:23.011 | 6      | Sleeping   | Sleeping   | Running    | Sleeping   | Sleeping   | Handling request
23:09:23.013 | 6      | Sleeping   | Sleeping   | Done       | Sleeping   | Sleeping   | Finished request
23:09:23.013 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for client
23:09:23.016 | 5      | Running    | Sleeping   | Sleeping   | Sleeping   | Sleeping   | New connection accepted
23:09:23.016 | 5      | Ready      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Client added to queue
23:09:23.016 | -      | Ready      | Sleeping   | Sleeping   | Ready      | Sleeping   | Waiting to execute
23:09:23.016 | 5      | Ready      | Sleeping   | Sleeping   | Running    | Sleeping   | Handling request
23:09:23.016 | -      | Sleeping   | Sleeping   | Sleeping   | Running    | Sleeping   | Waiting for connection
23:09:23.017 | 5      | Sleeping   | Sleeping   | Sleeping   | Done       | Sleeping   | Finished request
23:09:23.017 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for client
23:09:23.122 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:23.229 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:23.335 | 5      | Running    | Sleeping   | Sleeping   | Sleeping   | Sleeping   | New connection accepted
23:09:23.335 | 5      | Ready      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Client added to queue
23:09:23.335 | -      | Ready      | Sleeping   | Sleeping   | Sleeping   | Ready      | Waiting to execute
23:09:23.335 | 5      | Ready      | Sleeping   | Sleeping   | Sleeping   | Running    | Handling request
23:09:23.335 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Running    | Waiting for connection
23:09:23.336 | 5      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Done       | Finished request
23:09:23.336 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for client
23:09:23.439 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:23.549 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:23.577 | 5      | Running    | Sleeping   | Sleeping   | Sleeping   | Sleeping   | New connection accepted
23:09:23.577 | 5      | Ready      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Client added to queue
23:09:23.577 | -      | Ready      | Ready      | Sleeping   | Sleeping   | Sleeping   | Waiting to execute
23:09:23.577 | 5      | Ready      | Running    | Sleeping   | Sleeping   | Sleeping   | Handling request
23:09:23.577 | -      | Sleeping   | Running    | Sleeping   | Sleeping   | Sleeping   | Waiting for connection
23:09:23.578 | 5      | Sleeping   | Done       | Sleeping   | Sleeping   | Sleeping   | Finished request
23:09:23.578 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for client
23:09:23.586 | 6      | Running    | Sleeping   | Sleeping   | Sleeping   | Sleeping   | New connection accepted
23:09:23.586 | 6      | Ready      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Client added to queue
23:09:23.586 | -      | Ready      | Sleeping   | Ready      | Sleeping   | Sleeping   | Waiting to execute
23:09:23.586 | 6      | Ready      | Sleeping   | Running    | Sleeping   | Sleeping   | Handling request
23:09:23.586 | -      | Sleeping   | Sleeping   | Running    | Sleeping   | Sleeping   | Waiting for connection
23:09:23.586 | 6      | Sleeping   | Sleeping   | Done       | Sleeping   | Sleeping   | Finished request
23:09:23.586 | -      | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Sleeping   | Waiting for client
